modelo,accuracy,f1_weighted,f1_macro
LinearSVC,0.9752577319587629,0.9752397457841402,0.9719622479831216
LogReg,0.9711340206185567,0.9711104347328,0.9684643698280606
RandomForest_SVD,0.9463917525773196,0.9461530407968338,0.9395598940568725
